@attribute 'RGB Color Histogram55' numeric
@attribute 'RGB Color Histogram56' numeric
@attribute 'RGB Color Histogram57' numeric
@attribute 'RGB Color Histogram58' numeric
@attribute 'RGB Color Histogram59' numeric
@attribute 'RGB Color Histogram60' numeric
@attribute 'RGB Color Histogram61' numeric
@attribute 'RGB Color Histogram62' numeric
@attribute 'RGB Color Histogram63' numeric
@attribute class {K1,K2,K3,K4,K5,K6,K7,K8}

@data

255,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,247,20,0,0,3,232,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,0,0,0,64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,8,K2
121,30,0,0,0,2,0,0,0,0,0,0,0,0,0,0,173,16,0,0,0,255,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,K2
2,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,14,0,0,0,255,31,0,0,0,0,0,0,0,0,0,35,1,0,0,3,252,25,0,0,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,0,0,0,185,K2
255,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,82,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,K2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,255,60,0,0,0,0,0,0,0,0,0,57,8,0,0,4,250,41,0,0,1,59,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,40,0,0,0,168,K2
95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,12,0,0,2,255,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,115,0,0,1,107,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,32,0,0,0,194,K2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,116,0,0,0,1,0,0,0,0,0,0,0,0,0,0,158,51,0,0,0,66,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,0,0,0,52,K2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,5,0,0,19,88,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,26,0,0,0,97,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,158,K2
128,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,67,0,0,1,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
83,21,0,0,0,9,0,0,0,0,0,0,0,0,0,0,255,14,0,0,4,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,66,0,0,0,2,0,0,0,0,0,0,0,0,0,0,255,63,0,0,0,76,91,0,0,0,4,0,0,0,0,0,0,0,0,0,0,17,27,0,0,0,223,K2
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,3,0,0,3,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,210,6,0,0,10,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,3,0,0,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
16,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,255,32,0,0,16,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,19,0,0,5,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,3,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,7,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,186,0,0,0,0,0,0,0,0,0,58,2,0,0,30,177,28,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,31,0,0,0,0,31,K2
255,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,92,5,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,2,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,2,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,2,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,156,5,0,0,0,65,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,K2
255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,30,0,0,0,254,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,51,0,0,0,248,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,K2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,91,0,0,0,1,0,0,0,0,0,20,5,0,0,10,150,23,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,0,0,10,K2
246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,1,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,22,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
234,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,255,12,0,0,4,83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,26,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2
255,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,18,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,153,K2
