@relation dm_prak-weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter-D../irteera/convert-grayscale/-weka.filters.unsupervised.attribute.RemoveType-Tstring

@attribute 'MPEG-7 Color Layout0' numeric
@attribute 'MPEG-7 Color Layout1' numeric
@attribute 'MPEG-7 Color Layout2' numeric
@attribute 'MPEG-7 Color Layout3' numeric
@attribute 'MPEG-7 Color Layout4' numeric
@attribute 'MPEG-7 Color Layout5' numeric
@attribute 'MPEG-7 Color Layout6' numeric
@attribute 'MPEG-7 Color Layout7' numeric
@attribute 'MPEG-7 Color Layout8' numeric
@attribute 'MPEG-7 Color Layout9' numeric
@attribute 'MPEG-7 Color Layout10' numeric
@attribute 'MPEG-7 Color Layout11' numeric
@attribute 'MPEG-7 Color Layout12' numeric
@attribute 'MPEG-7 Color Layout13' numeric
@attribute 'MPEG-7 Color Layout14' numeric
@attribute 'MPEG-7 Color Layout15' numeric
@attribute 'MPEG-7 Color Layout16' numeric
@attribute 'MPEG-7 Color Layout17' numeric
@attribute 'MPEG-7 Color Layout18' numeric
@attribute 'MPEG-7 Color Layout19' numeric
@attribute 'MPEG-7 Color Layout20' numeric
@attribute 'MPEG-7 Color Layout21' numeric
@attribute 'MPEG-7 Color Layout22' numeric
@attribute 'MPEG-7 Color Layout23' numeric
@attribute 'MPEG-7 Color Layout24' numeric
@attribute 'MPEG-7 Color Layout25' numeric
@attribute 'MPEG-7 Color Layout26' numeric
@attribute 'MPEG-7 Color Layout27' numeric
@attribute 'MPEG-7 Color Layout28' numeric
@attribute 'MPEG-7 Color Layout29' numeric
@attribute 'MPEG-7 Color Layout30' numeric
@attribute 'MPEG-7 Color Layout31' numeric
@attribute 'MPEG-7 Color Layout32' numeric
@attribute class {K1,K2,K3,K4,K5,K6}

@data
5,14,18,12,15,12,17,15,17,14,17,16,19,15,15,15,15,14,16,15,15,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,16,13,13,14,13,14,17,16,14,16,16,16,16,15,15,15,15,16,15,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,14,17,12,15,12,17,15,17,15,17,15,19,15,15,15,15,14,15,15,14,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,15,15,13,15,12,16,16,16,13,16,15,19,15,15,15,14,16,16,16,15,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,15,16,13,13,15,16,16,15,14,15,17,18,14,16,16,14,16,17,15,15,32,16,16,16,16,16,32,16,16,16,16,16,K2
8,11,9,21,21,14,14,21,12,10,22,18,13,14,17,16,15,15,18,16,15,32,16,16,16,16,16,32,16,16,16,16,16,K2
7,17,18,16,15,20,18,17,11,14,19,15,12,17,16,16,15,14,16,16,14,32,16,16,16,16,16,32,16,16,16,16,16,K2
25,17,28,23,12,15,18,20,13,20,25,13,21,16,18,17,18,14,12,17,18,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,21,13,15,12,19,17,13,19,17,17,16,16,15,16,15,16,16,17,14,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
29,17,27,24,11,17,16,16,16,22,25,16,20,15,18,15,16,15,15,17,20,32,16,16,16,16,16,32,16,16,16,16,16,K2
8,20,10,13,16,20,14,13,15,17,16,13,13,18,15,14,16,14,19,16,17,32,16,16,16,16,16,32,16,16,16,16,16,K2
35,15,26,26,15,16,15,15,14,19,24,16,19,16,16,16,17,16,14,15,17,32,16,16,16,16,16,32,16,16,16,16,16,K2
26,19,24,22,17,15,15,17,15,21,22,14,18,15,16,17,15,14,17,16,20,32,16,16,16,16,16,32,16,16,16,16,16,K2
28,9,25,13,15,28,15,23,19,16,22,11,22,17,23,17,15,19,15,15,17,32,16,16,16,16,16,32,16,16,16,16,16,K2
6,15,14,14,16,16,15,14,17,15,18,16,16,15,16,16,15,15,16,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
6,16,15,13,17,17,16,15,15,15,18,16,18,16,17,16,16,15,15,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
37,15,28,21,16,21,16,17,15,22,23,16,14,15,19,16,17,16,14,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,14,15,14,17,15,16,15,15,15,17,16,18,15,16,16,16,15,16,15,15,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,17,16,14,15,15,17,16,14,16,17,16,16,15,16,16,16,15,16,16,15,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,16,17,12,15,14,16,16,15,15,18,15,17,15,15,15,16,16,16,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
6,13,15,16,16,18,15,16,15,16,19,15,15,16,17,16,16,16,16,16,17,32,16,16,16,16,16,32,16,16,16,16,16,K2
6,16,14,17,15,18,16,14,16,16,18,15,15,16,16,16,16,15,16,15,17,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,12,15,13,15,17,13,15,16,15,18,16,18,16,18,15,14,16,16,15,15,32,16,16,16,16,16,32,16,16,16,16,16,K2
4,17,15,13,15,14,16,16,16,15,16,16,18,16,15,15,16,15,15,15,15,32,16,16,16,16,16,32,16,16,16,16,16,K2
21,15,17,14,15,14,15,16,15,15,22,15,22,15,16,15,16,16,15,16,15,32,16,16,16,16,16,32,16,16,16,16,16,K2
4,14,17,15,16,14,13,14,15,16,16,15,17,16,17,16,15,16,16,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
4,13,15,14,15,15,15,16,16,16,15,16,17,15,16,16,16,15,15,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
4,16,16,13,16,13,16,16,16,15,17,16,17,16,15,16,15,15,16,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
4,15,17,15,15,14,16,15,14,16,17,15,17,17,15,16,15,16,15,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
7,25,17,10,17,18,21,16,16,16,19,16,20,16,18,16,15,15,16,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
12,20,27,15,21,21,14,17,15,16,21,19,15,16,17,15,15,13,12,15,18,32,16,16,16,16,16,32,16,16,16,16,16,K2
17,16,18,12,15,14,16,16,15,14,20,15,20,16,17,16,15,15,17,15,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
6,16,16,10,16,10,16,15,16,15,19,15,20,15,15,16,15,16,16,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
6,16,17,10,16,11,15,16,16,15,18,15,20,16,15,15,16,15,15,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
6,14,17,9,15,13,14,15,17,16,20,15,18,15,16,14,15,17,16,14,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
16,18,31,26,19,16,18,18,15,23,20,12,21,16,13,15,14,15,13,13,15,32,16,16,16,16,16,32,16,16,16,16,16,K2
21,28,27,21,22,26,19,13,15,23,19,18,9,16,21,14,16,11,13,14,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
6,17,16,12,14,13,18,15,16,16,19,17,20,15,17,17,15,16,16,15,15,32,16,16,16,16,16,32,16,16,16,16,16,K2
34,15,27,26,14,16,15,18,14,20,24,17,20,15,16,16,14,15,15,15,17,32,16,16,16,16,16,32,16,16,16,16,16,K2
4,16,16,13,16,12,16,16,15,15,17,15,17,16,16,15,15,15,16,15,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,17,16,11,15,13,17,15,16,15,18,15,19,15,17,16,15,15,16,15,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,16,16,13,13,13,16,14,16,15,18,14,20,15,16,16,15,16,16,16,17,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,11,16,14,15,14,16,15,14,15,18,15,17,15,15,17,15,17,16,15,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
7,16,20,17,13,16,15,15,15,17,18,15,19,15,15,16,15,15,15,17,18,32,16,16,16,16,16,32,16,16,16,16,16,K2
7,16,21,18,14,16,15,15,16,17,18,15,18,14,15,15,15,15,14,16,17,32,16,16,16,16,16,32,16,16,16,16,16,K2
7,16,16,6,15,11,16,15,15,14,22,16,19,16,14,15,15,15,16,16,18,32,16,16,16,16,16,32,16,16,16,16,16,K2
7,13,17,14,14,15,17,14,12,16,19,15,17,16,16,16,14,18,15,15,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
7,12,17,15,15,13,16,14,13,16,20,15,16,16,16,16,15,17,16,15,17,32,16,16,16,16,16,32,16,16,16,16,16,K2
8,12,17,17,15,15,20,16,11,16,20,15,18,16,13,19,16,19,16,14,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
9,20,16,13,15,23,19,16,16,14,19,16,18,16,21,17,15,16,16,15,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
7,19,18,11,17,18,17,17,15,15,19,16,18,16,18,15,15,14,16,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
4,16,15,13,16,12,15,16,16,15,17,15,17,16,15,16,15,15,16,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
4,16,15,13,16,13,16,15,16,15,17,15,18,16,15,16,15,16,16,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,18,12,15,12,14,16,15,18,14,17,14,17,16,15,15,16,15,16,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
4,16,15,14,15,14,15,15,16,15,17,15,18,16,16,15,15,16,16,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,15,15,13,17,14,15,15,15,15,17,16,18,16,16,15,15,15,16,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
4,12,15,15,17,15,15,15,15,15,17,15,17,15,15,16,16,16,16,15,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,16,14,17,14,17,15,15,16,16,18,15,15,15,16,15,17,16,16,15,17,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,16,16,11,16,12,16,15,16,15,18,16,19,16,15,16,15,16,16,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
11,9,20,17,21,20,16,17,15,16,18,15,16,14,16,16,15,18,14,15,17,32,16,16,16,16,16,32,16,16,16,16,16,K2
6,14,16,11,15,14,15,16,15,16,19,15,19,15,16,15,16,15,15,16,15,32,16,16,16,16,16,32,16,16,16,16,16,K2
9,16,19,13,15,13,16,17,13,15,21,18,19,14,15,15,15,15,14,14,15,32,16,16,16,16,16,32,16,16,16,16,16,K2
7,14,16,15,20,18,15,15,15,14,16,16,15,16,16,16,15,16,15,15,15,32,16,16,16,16,16,32,16,16,16,16,16,K2
10,12,20,17,14,20,15,17,17,15,20,17,17,14,15,16,15,16,15,15,15,32,16,16,16,16,16,32,16,16,16,16,16,K2
6,12,17,12,15,16,15,16,14,16,19,16,19,16,16,16,15,17,15,16,15,32,16,16,16,16,16,32,16,16,16,16,16,K2
5,16,17,12,15,13,16,16,15,15,18,16,18,16,16,16,15,15,16,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
14,17,8,7,15,10,15,10,15,16,16,19,24,13,15,14,16,17,18,12,19,32,16,16,16,16,16,32,16,16,16,16,16,K2
23,11,30,19,11,18,19,25,14,16,17,15,23,21,16,14,16,21,12,17,14,32,16,16,16,16,16,32,16,16,16,16,16,K2
4,18,17,16,17,15,16,17,17,16,17,17,17,16,15,15,15,15,17,16,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
21,16,15,20,10,13,12,13,20,11,19,10,20,16,17,15,15,16,12,13,14,32,16,16,16,16,16,32,16,16,16,16,16,K2
26,13,24,12,21,25,16,19,11,13,22,21,21,18,18,17,17,15,11,12,19,32,16,16,16,16,16,32,16,16,16,16,16,K2
20,10,20,16,8,21,8,15,21,18,22,10,21,13,16,14,13,17,16,21,17,32,16,16,16,16,16,32,16,16,16,16,16,K2
38,14,26,15,13,28,14,15,20,24,19,18,16,17,17,14,13,17,17,13,19,32,16,16,16,16,16,32,16,16,16,16,16,K2
30,19,25,12,13,24,15,13,17,24,16,11,11,17,15,14,15,15,17,13,16,32,16,16,16,16,16,32,16,16,16,16,16,K2
11,13,15,10,21,14,15,17,11,13,24,18,22,17,15,15,18,15,13,16,14,32,16,16,16,16,16,32,16,16,16,16,16,K2
