@relation dm_prak-weka.filters.unsupervised.instance.imagefilter.ColorLayoutFilter-D../irteera/convert-equalize/-weka.filters.unsupervised.attribute.RemoveType-Tstring

@attribute 'MPEG-7 Color Layout0' numeric
@attribute 'MPEG-7 Color Layout1' numeric
@attribute 'MPEG-7 Color Layout2' numeric
@attribute 'MPEG-7 Color Layout3' numeric
@attribute 'MPEG-7 Color Layout4' numeric
@attribute 'MPEG-7 Color Layout5' numeric
@attribute 'MPEG-7 Color Layout6' numeric
@attribute 'MPEG-7 Color Layout7' numeric
@attribute 'MPEG-7 Color Layout8' numeric
@attribute 'MPEG-7 Color Layout9' numeric
@attribute 'MPEG-7 Color Layout10' numeric
@attribute 'MPEG-7 Color Layout11' numeric
@attribute 'MPEG-7 Color Layout12' numeric
@attribute 'MPEG-7 Color Layout13' numeric
@attribute 'MPEG-7 Color Layout14' numeric
@attribute 'MPEG-7 Color Layout15' numeric
@attribute 'MPEG-7 Color Layout16' numeric
@attribute 'MPEG-7 Color Layout17' numeric
@attribute 'MPEG-7 Color Layout18' numeric
@attribute 'MPEG-7 Color Layout19' numeric
@attribute 'MPEG-7 Color Layout20' numeric
@attribute 'MPEG-7 Color Layout21' numeric
@attribute 'MPEG-7 Color Layout22' numeric
@attribute 'MPEG-7 Color Layout23' numeric
@attribute 'MPEG-7 Color Layout24' numeric
@attribute 'MPEG-7 Color Layout25' numeric
@attribute 'MPEG-7 Color Layout26' numeric
@attribute 'MPEG-7 Color Layout27' numeric
@attribute 'MPEG-7 Color Layout28' numeric
@attribute 'MPEG-7 Color Layout29' numeric
@attribute 'MPEG-7 Color Layout30' numeric
@attribute 'MPEG-7 Color Layout31' numeric
@attribute 'MPEG-7 Color Layout32' numeric
@attribute class {K1,K2,K3,K4,K5,K6,K7,K8}

@data
28,7,21,7,21,21,8,18,16,12,19,16,16,19,12,14,15,17,12,15,17,30,17,15,16,17,26,54,13,15,15,13,2,K2
31,15,23,12,15,19,16,17,13,20,22,15,17,14,13,17,13,12,14,17,18,21,14,16,17,16,18,57,15,15,10,15,3,K2
28,22,21,5,12,19,16,18,23,7,18,9,16,15,19,14,11,18,10,17,11,25,16,14,24,15,22,49,16,17,5,17,6,K2
26,13,22,8,11,15,15,24,19,9,17,16,19,12,12,16,14,19,12,14,10,18,12,18,20,15,22,56,18,14,6,15,4,K2
27,14,23,9,16,10,18,12,21,11,15,16,22,15,14,15,13,14,18,15,12,22,21,11,19,16,25,51,13,17,7,19,6,K2
27,19,7,7,11,8,10,22,18,7,13,18,13,18,10,12,15,15,15,14,14,20,19,17,22,12,17,50,11,16,5,17,5,K2
28,11,24,8,13,10,18,12,19,12,15,15,24,12,11,15,12,14,14,16,12,22,22,12,20,14,27,51,15,14,10,16,7,K2
26,11,9,11,14,8,14,15,19,8,13,12,22,14,11,15,12,16,16,20,11,18,19,17,22,12,24,50,14,14,5,17,4,K2
25,14,11,8,8,16,19,17,11,11,13,21,17,10,16,16,11,18,19,15,14,15,18,21,20,15,21,51,13,15,5,15,4,K2
28,7,13,18,24,16,12,24,10,8,24,17,11,14,17,17,14,13,17,17,16,26,15,16,21,14,20,49,17,17,6,17,6,K2
30,13,22,19,14,24,17,20,7,10,24,15,10,18,16,16,14,14,17,16,11,30,15,15,20,16,22,49,14,17,7,15,5,K2
29,20,28,24,11,15,19,21,13,16,25,13,21,16,17,17,17,13,11,18,14,28,15,16,17,15,21,51,17,12,7,15,4,K2
28,27,16,11,8,22,17,15,24,20,23,12,19,16,15,13,15,16,18,12,17,23,12,17,18,13,24,49,18,15,10,18,4,K2
31,18,26,25,9,21,16,16,17,20,25,15,18,16,19,15,15,15,14,17,19,29,15,14,18,16,22,54,16,13,6,17,5,K2
30,25,6,11,18,25,14,11,15,18,19,10,11,21,13,13,16,14,22,17,17,29,18,12,16,17,22,50,15,16,11,15,6,K2
32,15,26,28,15,19,15,16,15,17,25,16,18,16,16,16,17,16,12,15,17,31,16,14,17,15,22,51,17,13,6,15,5,K2
32,24,24,25,17,15,18,17,13,20,21,12,18,16,15,19,15,12,17,17,20,42,12,12,19,15,25,51,18,13,5,16,3,K2
29,10,24,11,15,29,15,22,18,15,24,11,23,17,22,17,15,19,15,15,17,23,15,16,12,15,22,55,18,12,21,16,3,K2
30,15,7,15,19,19,13,10,23,11,23,19,17,13,18,17,12,15,18,17,16,20,16,12,24,15,24,57,16,16,5,16,3,K2
29,14,12,7,21,25,17,14,15,14,22,16,24,15,21,17,19,16,15,16,17,19,10,11,15,17,25,58,23,22,13,11,2,K2
32,14,28,21,17,23,16,16,14,23,24,16,13,15,19,16,16,16,15,15,16,34,16,12,17,16,22,49,15,15,6,15,5,K2
26,9,15,13,21,17,15,17,12,13,21,19,20,15,19,17,17,15,19,14,13,13,16,14,19,16,20,61,17,23,7,17,4,K2
27,19,17,12,17,14,24,21,7,13,19,18,17,11,17,19,22,13,16,17,12,16,14,13,18,17,23,56,18,19,6,16,3,K2
21,17,23,5,12,12,15,21,15,16,24,14,23,14,15,14,17,15,19,17,19,11,14,17,13,18,17,63,22,15,23,14,10,K2
33,7,12,20,18,25,15,16,14,16,26,14,15,16,19,18,18,18,19,17,21,17,23,13,18,13,17,57,15,22,7,18,6,K2
33,18,10,20,16,26,16,10,17,18,26,15,14,17,19,19,17,15,18,15,23,24,17,13,19,16,21,56,15,19,7,17,5,K2
26,6,14,7,11,19,10,16,15,13,20,16,24,15,23,14,9,18,19,13,14,16,13,15,19,16,21,53,18,16,7,16,5,K2
26,25,11,7,14,12,21,19,20,12,17,17,24,16,14,15,20,16,16,11,13,18,14,16,21,16,21,54,16,15,7,15,6,K2
33,12,18,21,14,18,14,16,15,13,23,15,23,16,15,15,16,18,13,15,15,37,17,19,25,18,26,55,17,13,3,15,3,K2
30,5,21,14,17,10,5,11,10,17,19,12,20,18,21,16,14,18,17,18,15,25,10,16,19,16,22,49,22,17,9,16,6,K2
25,6,17,7,13,13,15,16,15,18,15,15,22,13,17,18,15,14,17,17,17,14,14,14,15,17,22,56,22,13,14,17,3,K2
20,20,20,6,22,6,17,17,19,16,22,17,24,18,13,17,14,15,18,17,18,10,13,15,10,13,20,58,13,15,19,14,2,K2
24,11,20,14,19,9,18,16,10,16,20,16,24,21,13,17,11,18,14,19,16,12,14,15,17,13,20,56,20,16,6,18,3,K2
27,29,19,7,15,15,24,16,17,16,19,17,22,16,17,16,15,14,16,15,15,26,17,15,19,16,21,48,13,16,9,15,7,K2
29,19,29,13,23,24,13,16,12,17,22,22,16,17,18,15,15,12,10,14,17,31,17,18,17,17,20,46,13,16,11,18,9,K2
33,17,23,15,12,20,17,20,15,13,21,16,20,16,18,16,16,16,16,12,17,43,15,10,25,18,27,55,16,16,5,17,2,K2
19,17,20,7,19,6,16,16,18,17,22,15,24,15,14,16,15,15,15,16,17,11,15,16,15,18,23,58,15,16,16,13,3,K2
